Code,Key,Value
GRSTRNDS_2C,strandVersion,2C
GRSTRNDS_3A,gradeLevel,GRADE_3
GRSTRNDS_3A,strandVersion,3A
GRSTRNDS_3B,gradeLevel,GRADE_3
GRSTRNDS_3B,strandVersion,3B
GRSTRNDS_3C,gradeLevel,GRADE_3
GRSTRNDS_3C,strandVersion,3C
GRSTRNDS_4A,gradeLevel,GRADE_4
GRSTRNDS_4A,strandVersion,4A
GRSTRNDS_4B,gradeLevel,GRADE_4
GRSTRNDS_4B,strandVersion,4B
GRSTRNDS_4C,gradeLevel,GRADE_4
GRSTRNDS_4C,strandVersion,4C
GRSTRNDS_5A,gradeLevel,GRADE_5
GRSTRNDS_5A,strandVersion,5A
GRSTRNDS_5B,gradeLevel,GRADE_5
GRSTRNDS_5B,strandVersion,5B
GRSTRNDS_5C,gradeLevel,GRADE_5
GRSTRNDS_5C,strandVersion,5C
GRSTRNDS_6A,gradeLevel,GRADE_6
GRSTRNDS_6A,strandVersion,6A
GRSTRNDS_6B,gradeLevel,GRADE_6
GRSTRNDS_6B,strandVersion,6B
GRSTRNDS_6C,gradeLevel,GRADE_6
GRSTRNDS_6C,strandVersion,6C
GRSTRNDS_7A,gradeLevel,GRADE_7
GRSTRNDS_7A,strandVersion,7A
GRSTRNDS_7B,gradeLevel,GRADE_7
GRSTRNDS_7B,strandVersion,7B
GRSTRNDS_7C,gradeLevel,GRADE_7
GRSTRNDS_7C,strandVersion,7C
GRSTRNDS_8A,gradeLevel,GRADE_8
GRSTRNDS_8A,strandVersion,8A
GRSTRNDS_8B,gradeLevel,GRADE_8
GRSTRNDS_8B,strandVersion,8B
GRSTRNDS_8C,gradeLevel,GRADE_8
GRSTRNDS_8C,strandVersion,8C
GRSTRNDS_9A,gradeLevel,GRADE_9
GRSTRNDS_9A,strandVersion,9A
GRSTRNDS_9B,gradeLevel,GRADE_9
GRSTRNDS_9B,strandVersion,9B
GRSTRNDS_9C,gradeLevel,GRADE_9
GRSTRNDS_9C,strandVersion,9C
GRSTRNDS_10A,gradeLevel,GRADE_10
GRSTRNDS_10A,strandVersion,10A
GRSTRNDS_10B,gradeLevel,GRADE_10
GRSTRNDS_10B,strandVersion,10B
GRSTRNDS_10C,gradeLevel,GRADE_10
GRSTRNDS_10C,strandVersion,10C
GRSTRNDS_11A,gradeLevel,GRADE_11
GRSTRNDS_11A,strandVersion,11A
GRSTRNDS_11B,gradeLevel,GRADE_11
GRSTRNDS_11B,strandVersion,11B
GRSTRNDS_11C,gradeLevel,GRADE_11
GRSTRNDS_11C,strandVersion,11C
GRSTRNDS_12A,gradeLevel,GRADE_12
GRSTRNDS_12A,strandVersion,12A
GRSTRNDS_12B,gradeLevel,GRADE_12
GRSTRNDS_12B,strandVersion,12B
GRSTRNDS_12C,gradeLevel,GRADE_12
GRSTRNDS_12C,strandVersion,12C
